Training: 209 steps, batch=32, micro=1, lr=0.0002
Unsloth: Will smartly offload gradients to save VRAM!
step 96/209: loss=0.1512, lr=1.09e-04, peak=69.9GB
step 97/209: loss=0.1902, lr=1.08e-04, peak=69.9GB
step 98/209: loss=0.1523, lr=1.07e-04, peak=69.9GB
step 99/209: loss=0.1697, lr=1.06e-04, peak=69.9GB
step 100/209: loss=0.1538, lr=1.05e-04, peak=69.9GB
step 101/209: loss=0.1418, lr=1.04e-04, peak=69.9GB
step 102/209: loss=0.1396, lr=1.03e-04, peak=69.9GB
step 103/209: loss=0.1533, lr=1.02e-04, peak=69.9GB
step 104/209: loss=0.1600, lr=1.01e-04, peak=69.9GB
step 105/209: loss=0.1286, lr=1.00e-04, peak=69.9GB
step 106/209: loss=0.1422, lr=9.95e-05, peak=69.9GB
step 107/209: loss=0.1189, lr=9.86e-05, peak=69.9GB
step 108/209: loss=0.1313, lr=9.76e-05, peak=69.9GB
step 109/209: loss=0.1384, lr=9.67e-05, peak=69.9GB
step 110/209: loss=0.1115, lr=9.57e-05, peak=69.9GB
step 111/209: loss=0.1345, lr=9.47e-05, peak=69.9GB
step 112/209: loss=0.1058, lr=9.38e-05, peak=69.9GB
step 113/209: loss=0.1038, lr=9.28e-05, peak=69.9GB
step 114/209: loss=0.1294, lr=9.19e-05, peak=69.9GB
step 115/209: loss=0.1217, lr=9.09e-05, peak=69.9GB
step 116/209: loss=0.0919, lr=9.00e-05, peak=69.9GB
step 117/209: loss=0.1152, lr=8.90e-05, peak=69.9GB
step 118/209: loss=0.1215, lr=8.80e-05, peak=69.9GB
step 119/209: loss=0.1256, lr=8.71e-05, peak=69.9GB
step 120/209: loss=0.1128, lr=8.61e-05, peak=69.9GB
step 121/209: loss=0.1375, lr=8.52e-05, peak=69.9GB
step 122/209: loss=0.1164, lr=8.42e-05, peak=69.9GB
step 123/209: loss=0.1452, lr=8.33e-05, peak=69.9GB
step 125/209: loss=0.1000, lr=8.13e-05, peak=69.9GB
step 126/209: loss=0.1272, lr=8.04e-05, peak=69.9GB
step 127/209: loss=0.1060, lr=7.94e-05, peak=69.9GB
step 128/209: loss=0.1104, lr=7.85e-05, peak=69.9GB
step 129/209: loss=0.1055, lr=7.75e-05, peak=69.9GB
step 130/209: loss=0.1177, lr=7.66e-05, peak=69.9GB
step 131/209: loss=0.0957, lr=7.56e-05, peak=69.9GB
step 132/209: loss=0.1034, lr=7.46e-05, peak=69.9GB
step 133/209: loss=0.1349, lr=7.37e-05, peak=69.9GB
step 134/209: loss=0.1315, lr=7.27e-05, peak=69.9GB
step 135/209: loss=0.1116, lr=7.18e-05, peak=69.9GB
step 136/209: loss=0.0957, lr=7.08e-05, peak=69.9GB
step 137/209: loss=0.1008, lr=6.99e-05, peak=69.9GB
step 138/209: loss=0.1003, lr=6.89e-05, peak=69.9GB
step 139/209: loss=0.0833, lr=6.79e-05, peak=69.9GB
step 140/209: loss=0.0906, lr=6.70e-05, peak=69.9GB
step 141/209: loss=0.1036, lr=6.60e-05, peak=69.9GB
step 142/209: loss=0.0791, lr=6.51e-05, peak=69.9GB
step 143/209: loss=0.0767, lr=6.41e-05, peak=69.9GB
step 144/209: loss=0.1155, lr=6.32e-05, peak=69.9GB
step 145/209: loss=0.1294, lr=6.22e-05, peak=69.9GB
step 146/209: loss=0.0870, lr=6.12e-05, peak=69.9GB
step 147/209: loss=0.1243, lr=6.03e-05, peak=69.9GB
step 148/209: loss=0.1155, lr=5.93e-05, peak=69.9GB
step 149/209: loss=0.1350, lr=5.84e-05, peak=69.9GB
step 150/209: loss=0.0850, lr=5.74e-05, peak=69.9GB
step 151/209: loss=0.1075, lr=5.65e-05, peak=69.9GB
step 152/209: loss=0.0908, lr=5.55e-05, peak=69.9GB
step 153/209: loss=0.1113, lr=5.45e-05, peak=69.9GB
step 154/209: loss=0.1068, lr=5.36e-05, peak=69.9GB
step 155/209: loss=0.0742, lr=5.26e-05, peak=69.9GB
step 156/209: loss=0.0785, lr=5.17e-05, peak=69.9GB
step 157/209: loss=0.0795, lr=5.07e-05, peak=69.9GB
step 158/209: loss=0.0940, lr=4.98e-05, peak=69.9GB
step 159/209: loss=0.1040, lr=4.88e-05, peak=69.9GB
step 160/209: loss=0.0867, lr=4.78e-05, peak=69.9GB
step 161/209: loss=0.0999, lr=4.69e-05, peak=69.9GB
step 162/209: loss=0.0858, lr=4.59e-05, peak=69.9GB
step 163/209: loss=0.1199, lr=4.50e-05, peak=69.9GB
step 164/209: loss=0.0857, lr=4.40e-05, peak=69.9GB
step 165/209: loss=0.0733, lr=4.31e-05, peak=69.9GB
step 166/209: loss=0.0802, lr=4.21e-05, peak=69.9GB
step 167/209: loss=0.1082, lr=4.11e-05, peak=69.9GB
step 168/209: loss=0.0913, lr=4.02e-05, peak=69.9GB
step 169/209: loss=0.1100, lr=3.92e-05, peak=69.9GB
step 170/209: loss=0.0882, lr=3.83e-05, peak=69.9GB
step 171/209: loss=0.1020, lr=3.73e-05, peak=69.9GB
step 172/209: loss=0.1049, lr=3.64e-05, peak=69.9GB
step 173/209: loss=0.0956, lr=3.54e-05, peak=69.9GB
step 174/209: loss=0.0973, lr=3.44e-05, peak=69.9GB
step 175/209: loss=0.0765, lr=3.35e-05, peak=69.9GB
step 176/209: loss=0.0882, lr=3.25e-05, peak=69.9GB
step 177/209: loss=0.0888, lr=3.16e-05, peak=69.9GB
step 178/209: loss=0.0659, lr=3.06e-05, peak=69.9GB
step 179/209: loss=0.0886, lr=2.97e-05, peak=69.9GB
step 180/209: loss=0.0894, lr=2.87e-05, peak=69.9GB
step 181/209: loss=0.0669, lr=2.78e-05, peak=69.9GB
step 182/209: loss=0.1066, lr=2.68e-05, peak=69.9GB
step 183/209: loss=0.0804, lr=2.58e-05, peak=69.9GB
step 184/209: loss=0.0996, lr=2.49e-05, peak=69.9GB
step 185/209: loss=0.0916, lr=2.39e-05, peak=69.9GB
step 186/209: loss=0.0849, lr=2.30e-05, peak=69.9GB
step 187/209: loss=0.0894, lr=2.20e-05, peak=69.9GB
step 188/209: loss=0.1036, lr=2.11e-05, peak=69.9GB
step 189/209: loss=0.0822, lr=2.01e-05, peak=69.9GB
step 190/209: loss=0.0798, lr=1.91e-05, peak=69.9GB
step 191/209: loss=0.0815, lr=1.82e-05, peak=69.9GB
step 192/209: loss=0.1060, lr=1.72e-05, peak=69.9GB
step 193/209: loss=0.0723, lr=1.63e-05, peak=69.9GB
step 194/209: loss=0.0771, lr=1.53e-05, peak=69.9GB
step 195/209: loss=0.0719, lr=1.44e-05, peak=69.9GB
step 196/209: loss=0.0922, lr=1.34e-05, peak=69.9GB
step 197/209: loss=0.0777, lr=1.24e-05, peak=69.9GB
step 198/209: loss=0.0745, lr=1.15e-05, peak=69.9GB
step 199/209: loss=0.0758, lr=1.05e-05, peak=69.9GB
step 200/209: loss=0.0960, lr=9.57e-06, peak=69.9GB
step 201/209: loss=0.0933, lr=8.61e-06, peak=69.9GB
step 202/209: loss=0.0819, lr=7.66e-06, peak=69.9GB
step 203/209: loss=0.0743, lr=6.70e-06, peak=69.9GB
step 204/209: loss=0.0989, lr=5.74e-06, peak=69.9GB
step 205/209: loss=0.0750, lr=4.78e-06, peak=69.9GB
step 206/209: loss=0.0875, lr=3.83e-06, peak=69.9GB
step 207/209: loss=0.0722, lr=2.87e-06, peak=69.9GB
step 208/209: loss=0.1026, lr=1.91e-06, peak=69.9GB
step 209/209: loss=0.1188, lr=9.57e-07, peak=69.9GB
